trade_id,transaction_time,account_number,cusip,activity,quantity,price
TDB_00000067,2024-09-25 17:16:40,TDB_CUST_3404295,AMZN,SELL,686,1078.98
TDB_00000068,2024-09-23 23:31:07,TDB_CUST_7564437,AMZN,SELL,189,1135.47
TDB_00000069,2024-09-19 07:45:12,TDB_CUST_7822270,NFLX,BUY,377,717.28
TDB_00000070,2024-09-24 21:43:28,TDB_CUST_5415357,NFLX,BUY,262,29.5
TDB_00000071,2024-09-22 00:36:37,TDB_CUST_2937932,AMZN,SELL,762,708.06
TDB_00000072,2024-09-18 18:43:01,TDB_CUST_6391214,JPM,BUY,341,268.22
TDB_00000073,2024-09-19 02:14:30,TDB_CUST_7947834,NFLX,BUY,18,180.15
TDB_00000074,2024-09-24 06:12:50,TDB_CUST_1608486,AAPL,BUY,653,462.96
TDB_00000075,2024-09-21 17:34:10,TDB_CUST_1956588,JPM,SELL,884,35.61
TDB_00000076,2024-09-21 11:22:14,TDB_CUST_9882328,NVDA,SELL,21,1364.64
TDB_00000077,2024-09-19 08:21:40,TDB_CUST_5061423,MSFT,SELL,912,1089.6
TDB_00000078,2024-09-19 02:12:35,TDB_CUST_3894484,NFLX,BUY,640,1115.73
TDB_00000079,2024-09-23 01:49:09,TDB_CUST_1041877,GOOGL,BUY,861,126.17
TDB_00000080,2024-09-25 14:02:58,TDB_CUST_2661245,MSFT,SELL,497,470.02
TDB_00000081,2024-09-24 14:42:29,TDB_CUST_7815716,FB,SELL,863,722.89
TDB_00000082,2024-09-25 04:21:02,TDB_CUST_9956512,GOOGL,SELL,840,593.77
TDB_00000083,2024-09-19 11:01:46,TDB_CUST_5614605,NVDA,BUY,856,313.77
TDB_00000084,2024-09-23 13:23:51,TDB_CUST_2460483,FB,BUY,564,331.09
TDB_00000085,2024-09-19 11:40:06,TDB_CUST_2444282,NVDA,SELL,249,494.3
TDB_00000086,2024-09-25 13:22:46,TDB_CUST_4875366,MSFT,BUY,516,1461.72
TDB_00000087,2024-09-24 22:58:01,TDB_CUST_3570225,MSFT,BUY,140,1346.83
TDB_00000088,2024-09-21 02:16:25,TDB_CUST_5950831,NVDA,SELL,170,624.66
TDB_00000089,2024-09-24 05:20:56,TDB_CUST_7527444,NFLX,SELL,368,705.26
TDB_00000090,2024-09-25 06:22:08,TDB_CUST_4023335,NFLX,SELL,717,250.37
TDB_00000091,2024-09-22 16:08:21,TDB_CUST_6010256,V,SELL,681,1296.02
TDB_00000092,2024-09-24 00:49:11,TDB_CUST_5249600,JPM,SELL,4,419.06
TDB_00000093,2024-09-24 05:44:26,TDB_CUST_2257097,FB,BUY,909,812.68
TDB_00000094,2024-09-19 02:56:11,TDB_CUST_7702938,V,BUY,981,319.94
TDB_00000095,2024-09-20 09:00:18,TDB_CUST_2480950,V,SELL,845,1404.9
TDB_00000096,2024-09-19 21:56:42,TDB_CUST_9651296,FB,SELL,408,447.22
TDB_00000097,2024-09-21 23:48:12,TDB_CUST_6898532,JPM,SELL,692,1094.36
TDB_00000098,2024-09-21 15:19:48,TDB_CUST_9181986,GOOGL,SELL,630,910.55
TDB_00000099,2024-09-19 10:29:19,TDB_CUST_4811157,JPM,BUY,119,613.49
TDB_00000100,2024-09-24 22:06:43,TDB_CUST_1252701,JPM,SELL,462,541.93
TDB_00000101,2024-09-24 13:27:54,TDB_CUST_1442102,GOOGL,BUY,327,952.85
TDB_00000102,2024-09-23 19:04:02,TDB_CUST_8228077,NVDA,SELL,560,1286.79
TDB_00000103,2024-09-22 14:14:30,TDB_CUST_6893087,V,SELL,374,703.72
TDB_00000104,2024-09-21 04:19:44,TDB_CUST_8581434,V,SELL,178,24.61
TDB_00000105,2024-09-21 01:54:00,TDB_CUST_3796123,MSFT,BUY,361,1061.56
TDB_00000106,2024-09-19 19:25:04,TDB_CUST_2285762,V,SELL,347,1104.93
TDB_00000107,2024-09-20 18:16:21,TDB_CUST_2260007,NFLX,SELL,618,557.17
TDB_00000108,2024-09-25 02:19:11,TDB_CUST_7690635,V,BUY,345,1407.44
TDB_00000109,2024-09-19 19:59:51,TDB_CUST_3499166,AAPL,SELL,582,1174.01
TDB_00000110,2024-09-19 13:57:57,TDB_CUST_5439218,MSFT,SELL,64,114.06
TDB_00000111,2024-09-24 12:33:53,TDB_CUST_2965915,V,SELL,549,393.58
TDB_00000112,2024-09-22 07:47:07,TDB_CUST_2596962,FB,BUY,269,111.92
TDB_00000113,2024-09-24 14:44:37,TDB_CUST_8002698,TSLA,BUY,627,782.05
TDB_00000114,2024-09-24 02:07:31,TDB_CUST_2530997,NVDA,BUY,765,834.1
TDB_00000115,2024-09-25 12:46:31,TDB_CUST_5543124,AMZN,SELL,833,1011.58
TDB_00000116,2024-09-23 01:33:03,TDB_CUST_2093937,FB,SELL,116,25.45
TDB_00000117,2024-09-19 06:30:23,TDB_CUST_6591033,FB,BUY,857,215.49
TDB_00000118,2024-09-24 19:48:15,TDB_CUST_8354633,AMZN,SELL,491,1000.61
TDB_00000119,2024-09-23 09:20:34,TDB_CUST_6379924,AMZN,SELL,83,677.35
TDB_00000120,2024-09-22 14:27:01,TDB_CUST_4333155,AMZN,BUY,616,780.31
TDB_00000121,2024-09-24 03:43:09,TDB_CUST_7617795,TSLA,SELL,97,891.66
TDB_00000122,2024-09-19 23:13:58,TDB_CUST_5111038,AMZN,BUY,75,592.0
TDB_00000123,2024-09-20 13:53:59,TDB_CUST_2190905,NFLX,SELL,41,517.81
TDB_00000124,2024-09-24 12:04:24,TDB_CUST_5521342,AAPL,SELL,987,933.79
TDB_00000125,2024-09-23 18:47:26,TDB_CUST_1733945,JPM,SELL,775,515.05
TDB_00000126,2024-09-23 08:39:33,TDB_CUST_7060473,MSFT,SELL,854,1096.06
TDB_00000127,2024-09-20 08:25:28,TDB_CUST_8382162,NVDA,SELL,893,1335.94
TDB_00000128,2024-09-24 00:11:49,TDB_CUST_6818729,V,SELL,843,353.32
TDB_00000129,2024-09-24 00:35:33,TDB_CUST_4264453,NFLX,SELL,300,1346.54
TDB_00000130,2024-09-20 00:17:59,TDB_CUST_8136928,MSFT,BUY,625,1318.59
TDB_00000131,2024-09-19 03:24:37,TDB_CUST_8183737,NVDA,SELL,900,320.06
TDB_00000132,2024-09-25 14:07:41,TDB_CUST_2988513,FB,SELL,336,990.02
TDB_00000133,2024-09-20 11:00:51,TDB_CUST_8902118,NFLX,SELL,909,753.12
TDB_00000134,2024-09-24 00:17:19,TDB_CUST_3510951,TSLA,SELL,1,583.64
TDB_00000135,2024-09-25 06:54:36,TDB_CUST_4102556,NFLX,SELL,860,789.62
TDB_00000136,2024-09-24 23:57:19,TDB_CUST_3524407,GOOGL,SELL,410,228.19
TDB_00000137,2024-09-20 05:17:14,TDB_CUST_4175432,TSLA,BUY,443,433.78
TDB_00000138,2024-09-19 06:41:23,TDB_CUST_5397417,AAPL,SELL,558,1441.75
TDB_00000139,2024-09-25 03:33:42,TDB_CUST_3131587,GOOGL,BUY,492,541.02
TDB_00000140,2024-09-19 14:38:51,TDB_CUST_7483633,NFLX,BUY,500,53.47
TDB_00000141,2024-09-20 03:55:18,TDB_CUST_9038767,FB,SELL,334,775.98
TDB_00000142,2024-09-23 20:54:02,TDB_CUST_9770706,JPM,SELL,890,102.1
TDB_00000143,2024-09-20 00:47:54,TDB_CUST_1811343,NVDA,SELL,262,329.0
TDB_00000144,2024-09-18 21:21:05,TDB_CUST_2347995,NVDA,BUY,680,1461.28
TDB_00000145,2024-09-20 22:18:52,TDB_CUST_4865505,V,SELL,359,796.71
TDB_00000146,2024-09-25 13:42:46,TDB_CUST_3103537,NVDA,BUY,467,1149.92
TDB_00000147,2024-09-23 05:22:14,TDB_CUST_2886357,GOOGL,BUY,595,22.67
TDB_00000148,2024-09-21 08:34:01,TDB_CUST_7933265,MSFT,SELL,6,1448.74
TDB_00000149,2024-09-23 15:20:17,TDB_CUST_5120425,MSFT,BUY,388,1087.33
TDB_00000150,2024-09-23 09:10:00,TDB_CUST_7049691,MSFT,BUY,585,379.36
TDB_00000151,2024-09-24 23:15:16,TDB_CUST_7729392,NFLX,SELL,47,1140.1
TDB_00000152,2024-09-21 21:03:30,TDB_CUST_2809637,NVDA,BUY,111,1318.18
TDB_00000153,2024-09-18 22:39:27,TDB_CUST_8453956,AAPL,SELL,420,1137.42
TDB_00000154,2024-09-22 05:53:31,TDB_CUST_8867198,MSFT,SELL,317,304.77
TDB_00000155,2024-09-23 17:18:32,TDB_CUST_2755693,NFLX,SELL,801,263.52
TDB_00000156,2024-09-21 14:24:25,TDB_CUST_6484393,AAPL,BUY,458,231.6
TDB_00000157,2024-09-21 07:04:52,TDB_CUST_9043028,FB,SELL,928,850.0
TDB_00000158,2024-09-23 21:17:00,TDB_CUST_7344779,NFLX,BUY,838,1272.06
TDB_00000159,2024-09-25 09:51:16,TDB_CUST_3450596,V,SELL,269,391.56
TDB_00000160,2024-09-24 21:34:25,TDB_CUST_5369870,AAPL,BUY,72,481.43
TDB_00000161,2024-09-22 13:03:19,TDB_CUST_4461188,NVDA,BUY,659,26.96
TDB_00000162,2024-09-25 05:34:12,TDB_CUST_7109522,AMZN,BUY,518,949.95
TDB_00000163,2024-09-23 01:39:51,TDB_CUST_9482321,FB,SELL,368,134.37
TDB_00000164,2024-09-20 07:54:36,TDB_CUST_2860190,NFLX,BUY,986,1250.76
TDB_00000165,2024-09-24 07:51:32,TDB_CUST_2889368,AAPL,BUY,81,1154.3
TDB_00000166,2024-09-23 04:31:37,TDB_CUST_7132942,NVDA,BUY,100,944.17
TDB_00000167,2024-09-23 12:58:57,TDB_CUST_3437843,V,BUY,631,1496.95
TDB_00000168,2024-09-24 01:41:56,TDB_CUST_9586162,NVDA,SELL,62,910.93
TDB_00000169,2024-09-25 16:07:01,TDB_CUST_8198519,MSFT,SELL,972,414.35
TDB_00000170,2024-09-20 14:37:01,TDB_CUST_1888326,TSLA,SELL,222,365.53
TDB_00000171,2024-09-19 23:06:18,TDB_CUST_8092382,MSFT,BUY,65,795.85
TDB_00000172,2024-09-23 08:31:09,TDB_CUST_4695044,FB,SELL,59,1199.29
TDB_00000173,2024-09-18 18:40:22,TDB_CUST_1364300,AAPL,SELL,409,1247.51
TDB_00000174,2024-09-22 05:47:55,TDB_CUST_3446000,NFLX,BUY,584,1499.33
TDB_00000175,2024-09-24 02:34:45,TDB_CUST_2026323,JPM,BUY,542,997.14
TDB_00000176,2024-09-19 23:07:05,TDB_CUST_4918038,MSFT,SELL,521,630.08
TDB_00000177,2024-09-25 13:13:40,TDB_CUST_5598812,AMZN,SELL,468,740.61
TDB_00000178,2024-09-25 06:24:06,TDB_CUST_8698352,V,BUY,564,639.1
TDB_00000179,2024-09-20 19:17:15,TDB_CUST_6625633,JPM,BUY,731,234.15
TDB_00000180,2024-09-24 07:21:11,TDB_CUST_1895094,MSFT,SELL,362,665.09
TDB_00000181,2024-09-22 17:41:46,TDB_CUST_1432373,JPM,BUY,508,1140.0
TDB_00000182,2024-09-24 01:50:32,TDB_CUST_8814992,NFLX,BUY,696,368.8
TDB_00000183,2024-09-23 21:54:01,TDB_CUST_7853358,AAPL,BUY,585,1207.3
TDB_00000184,2024-09-23 08:28:21,TDB_CUST_2378298,NVDA,BUY,55,463.79
TDB_00000185,2024-09-23 23:02:34,TDB_CUST_7984085,GOOGL,BUY,549,675.27
TDB_00000186,2024-09-19 23:39:13,TDB_CUST_4263715,AAPL,BUY,678,1183.69
TDB_00000187,2024-09-24 15:02:23,TDB_CUST_5537688,JPM,SELL,211,946.54
TDB_00000188,2024-09-19 03:06:35,TDB_CUST_3434587,MSFT,SELL,441,502.09
TDB_00000189,2024-09-19 04:19:45,TDB_CUST_6077174,NVDA,BUY,477,1005.41
TDB_00000190,2024-09-18 22:03:58,TDB_CUST_3117194,JPM,BUY,119,73.91
TDB_00000191,2024-09-23 02:46:15,TDB_CUST_8705389,NVDA,SELL,323,570.01
TDB_00000192,2024-09-19 17:22:53,TDB_CUST_3390512,AAPL,SELL,83,1168.16
TDB_00000193,2024-09-22 17:44:52,TDB_CUST_8757492,NVDA,SELL,119,1337.01
TDB_00000194,2024-09-23 23:38:01,TDB_CUST_5962291,NFLX,BUY,800,681.7
TDB_00000195,2024-09-19 19:04:09,TDB_CUST_3159465,GOOGL,SELL,507,303.74
TDB_00000196,2024-09-20 04:36:26,TDB_CUST_7309978,AAPL,BUY,249,663.97
TDB_00000197,2024-09-22 01:52:23,TDB_CUST_6795745,MSFT,BUY,474,140.11
TDB_00000198,2024-09-21 23:57:51,TDB_CUST_4337655,AAPL,BUY,775,620.58
TDB_00000199,2024-09-20 19:08:53,TDB_CUST_4753349,AMZN,BUY,329,296.45
TDB_00000200,2024-09-21 22:00:45,TDB_CUST_8105890,V,SELL,622,665.89
TDB_00000201,2024-09-20 05:01:25,TDB_CUST_4606322,AAPL,BUY,979,1460.94
TDB_00000202,2024-09-25 16:57:38,TDB_CUST_4168315,GOOGL,SELL,314,622.55
TDB_00000203,2024-09-20 22:51:38,TDB_CUST_3451047,AAPL,BUY,774,794.62
TDB_00000204,2024-09-24 13:59:36,TDB_CUST_6778029,AAPL,SELL,122,1117.16
TDB_00000205,2024-09-21 23:31:54,TDB_CUST_7505223,AAPL,BUY,796,449.18
TDB_00000206,2024-09-20 16:16:53,TDB_CUST_6730068,AMZN,BUY,41,1434.42
TDB_00000207,2024-09-21 04:41:36,TDB_CUST_8635070,NVDA,SELL,96,1202.21
TDB_00000208,2024-09-19 14:49:39,TDB_CUST_3127450,JPM,BUY,554,943.14
TDB_00000209,2024-09-20 05:43:13,TDB_CUST_8638974,AMZN,SELL,936,454.63
TDB_00000210,2024-09-22 13:40:41,TDB_CUST_4911222,NVDA,SELL,435,568.5
TDB_00000211,2024-09-25 03:14:58,TDB_CUST_9175759,FB,BUY,961,239.14
TDB_00000212,2024-09-23 13:28:52,TDB_CUST_8747440,AAPL,SELL,625,346.17
TDB_00000213,2024-09-24 07:36:46,TDB_CUST_3323454,JPM,SELL,224,647.39
TDB_00000214,2024-09-23 16:47:36,TDB_CUST_4357871,GOOGL,SELL,278,1308.69
TDB_00000215,2024-09-21 01:48:51,TDB_CUST_2259745,FB,BUY,945,847.91
TDB_00000216,2024-09-25 16:35:50,TDB_CUST_1018551,AMZN,SELL,576,433.33
TDB_00000217,2024-09-23 14:47:15,TDB_CUST_4410844,MSFT,BUY,104,20.82
TDB_00000218,2024-09-22 21:09:22,TDB_CUST_2439434,NVDA,SELL,970,1240.25
TDB_00000219,2024-09-25 06:04:13,TDB_CUST_6509607,TSLA,BUY,761,256.1
TDB_00000220,2024-09-22 21:37:57,TDB_CUST_2800631,MSFT,BUY,973,246.67
TDB_00000221,2024-09-19 04:50:40,TDB_CUST_1241458,FB,BUY,737,29.07
TDB_00000222,2024-09-19 14:14:34,TDB_CUST_6598463,FB,BUY,49,1154.09
TDB_00000223,2024-09-24 08:29:40,TDB_CUST_1006874,TSLA,SELL,404,1094.96
TDB_00000224,2024-09-22 06:04:18,TDB_CUST_8643803,AMZN,BUY,797,787.96
TDB_00000225,2024-09-23 20:00:09,TDB_CUST_8616587,AAPL,BUY,73,739.98
TDB_00000226,2024-09-21 20:57:16,TDB_CUST_9833018,GOOGL,SELL,585,102.72
TDB_00000227,2024-09-21 18:23:44,TDB_CUST_3590684,JPM,SELL,60,111.48
TDB_00000228,2024-09-22 18:04:37,TDB_CUST_5628353,JPM,BUY,741,296.45
TDB_00000229,2024-09-24 06:26:41,TDB_CUST_9449959,V,SELL,498,1250.9
TDB_00000230,2024-09-23 14:45:17,TDB_CUST_2950905,JPM,SELL,98,1131.15
TDB_00000231,2024-09-20 17:16:59,TDB_CUST_7937210,V,SELL,886,768.67
TDB_00000232,2024-09-23 12:57:31,TDB_CUST_4321966,TSLA,BUY,716,1063.81
TDB_00000233,2024-09-18 23:17:07,TDB_CUST_5902523,AAPL,BUY,563,339.99
TDB_00000234,2024-09-22 12:20:02,TDB_CUST_8479278,NVDA,BUY,99,557.89
TDB_00000235,2024-09-21 02:02:02,TDB_CUST_3308315,AAPL,SELL,335,652.9
TDB_00000236,2024-09-23 02:45:42,TDB_CUST_2774516,NFLX,BUY,851,1222.66
TDB_00000237,2024-09-19 21:14:42,TDB_CUST_9663635,AAPL,BUY,138,486.55
TDB_00000238,2024-09-25 10:53:54,TDB_CUST_6845247,TSLA,SELL,726,68.46
TDB_00000239,2024-09-23 08:28:00,TDB_CUST_3208004,AMZN,BUY,69,1085.67
TDB_00000240,2024-09-24 13:04:26,TDB_CUST_2031070,NVDA,BUY,338,356.03
TDB_00000241,2024-09-24 05:51:38,TDB_CUST_1725533,MSFT,BUY,876,374.14
TDB_00000242,2024-09-22 00:20:08,TDB_CUST_4286516,FB,SELL,897,1223.06
TDB_00000243,2024-09-23 16:33:00,TDB_CUST_2977163,JPM,SELL,600,1310.46
TDB_00000244,2024-09-24 21:23:27,TDB_CUST_7649579,NFLX,BUY,489,323.31
TDB_00000245,2024-09-22 16:52:25,TDB_CUST_9693376,GOOGL,SELL,757,1062.23
TDB_00000246,2024-09-23 15:11:03,TDB_CUST_2058484,NFLX,BUY,127,1190.33
TDB_00000247,2024-09-21 06:18:51,TDB_CUST_1563147,NVDA,SELL,685,815.72
TDB_00000248,2024-09-25 07:22:32,TDB_CUST_4934324,NFLX,BUY,370,157.87
TDB_00000249,2024-09-24 14:27:41,TDB_CUST_6465784,NFLX,BUY,442,55.0
TDB_00000250,2024-09-19 17:35:40,TDB_CUST_9277199,MSFT,BUY,61,17.99
TDB_00000251,2024-09-22 13:47:59,TDB_CUST_7957209,TSLA,BUY,536,625.75
TDB_00000252,2024-09-20 17:16:34,TDB_CUST_8697040,GOOGL,BUY,605,40.71
TDB_00000253,2024-09-23 22:21:05,TDB_CUST_9532911,JPM,SELL,450,971.82
TDB_00000254,2024-09-20 17:00:57,TDB_CUST_6631561,AAPL,BUY,301,1270.27
TDB_00000255,2024-09-21 16:50:19,TDB_CUST_4215391,V,BUY,781,1047.74
TDB_00000256,2024-09-19 12:08:57,TDB_CUST_6604062,NFLX,SELL,54,402.44
TDB_00000257,2024-09-19 06:03:05,TDB_CUST_4200736,NFLX,SELL,620,205.38
TDB_00000258,2024-09-20 13:29:38,TDB_CUST_7652162,JPM,SELL,526,1133.69
TDB_00000259,2024-09-20 21:22:33,TDB_CUST_4968528,NFLX,SELL,96,847.79
TDB_00000260,2024-09-21 05:10:06,TDB_CUST_9864726,TSLA,BUY,539,919.86
TDB_00000261,2024-09-21 11:37:02,TDB_CUST_1762482,JPM,SELL,53,32.08
TDB_00000262,2024-09-25 03:25:08,TDB_CUST_9959463,NVDA,BUY,517,811.02
TDB_00000263,2024-09-20 11:15:41,TDB_CUST_2654978,NFLX,SELL,339,329.54
TDB_00000264,2024-09-20 23:56:08,TDB_CUST_8452011,TSLA,BUY,274,582.1
TDB_00000265,2024-09-19 00:10:42,TDB_CUST_3258806,NVDA,SELL,503,681.16
TDB_00000266,2024-09-19 04:45:01,TDB_CUST_1714299,V,BUY,773,349.3
TDB_00000267,2024-09-22 03:02:49,TDB_CUST_7152635,MSFT,BUY,619,201.13
TDB_00000268,2024-09-23 06:31:28,TDB_CUST_1413027,V,SELL,34,898.08
TDB_00000269,2024-09-18 21:52:57,TDB_CUST_4653292,AMZN,SELL,984,1186.08
TDB_00000270,2024-09-22 03:19:32,TDB_CUST_2948586,AAPL,SELL,527,345.69
TDB_00000271,2024-09-23 00:18:52,TDB_CUST_3364232,TSLA,BUY,85,67.82
TDB_00000272,2024-09-21 10:26:44,TDB_CUST_9881765,V,BUY,500,874.11
TDB_00000273,2024-09-24 13:16:15,TDB_CUST_9773011,V,SELL,873,1459.95
TDB_00000274,2024-09-25 14:43:04,TDB_CUST_7574314,FB,SELL,417,650.17
TDB_00000275,2024-09-21 07:57:19,TDB_CUST_6107891,MSFT,BUY,1,1207.02
TDB_00000276,2024-09-25 02:26:42,TDB_CUST_2679524,AAPL,BUY,438,99.21
TDB_00000277,2024-09-18 23:32:16,TDB_CUST_6135295,AAPL,SELL,566,327.93
TDB_00000278,2024-09-21 13:36:26,TDB_CUST_1802313,JPM,BUY,88,218.57
TDB_00000279,2024-09-21 13:33:35,TDB_CUST_6046224,JPM,SELL,563,17.57
TDB_00000280,2024-09-25 09:33:10,TDB_CUST_9409358,NVDA,BUY,770,404.85
TDB_00000281,2024-09-19 01:04:52,TDB_CUST_1869160,AMZN,BUY,961,1325.1
TDB_00000282,2024-09-20 07:22:11,TDB_CUST_1091781,MSFT,SELL,182,969.41
TDB_00000283,2024-09-21 02:00:34,TDB_CUST_4598405,JPM,SELL,45,954.99
TDB_00000284,2024-09-19 13:56:23,TDB_CUST_7577328,TSLA,SELL,569,530.11
TDB_00000285,2024-09-22 03:54:41,TDB_CUST_3800577,AAPL,SELL,939,766.97
TDB_00000286,2024-09-24 11:55:18,TDB_CUST_9304630,V,BUY,373,316.42
TDB_00000287,2024-09-24 09:15:46,TDB_CUST_1301488,MSFT,BUY,275,445.21
TDB_00000288,2024-09-25 00:15:28,TDB_CUST_9966315,AAPL,SELL,177,89.09
TDB_00000289,2024-09-22 07:17:26,TDB_CUST_7019986,NFLX,BUY,496,118.78
TDB_00000290,2024-09-20 19:54:45,TDB_CUST_9470313,JPM,BUY,606,982.06
